,index,CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment,Cluster
0,0,4355.0,44,21,39209.0,3,2,1,321,Potential loyalists,5
1,1,4352.0,40,118,285781.0,3,4,4,344,Loyal customers,5
2,2,4349.0,51,98,64097.0,3,3,2,332,Loyal customers,5
3,3,4341.0,11,104,256324.0,4,4,4,444,Champions,5
4,4,4339.0,219,88,201305.0,1,3,3,133,At risk,1
5,5,4333.0,193,124,246358.0,1,4,4,144,Can't loose them,1
6,6,4331.0,13,164,850894.0,4,4,4,444,Champions,5
7,7,4328.0,45,242,699346.0,3,4,4,344,Loyal customers,0
8,8,4325.0,5,272,797952.0,4,4,4,444,Champions,0
9,9,4313.0,2,134,333049.0,4,4,4,444,Champions,5
10,10,4312.0,29,8,16132.0,3,1,1,311,Promising,5
11,11,4311.0,37,32,58936.0,3,2,2,322,Potential loyalists,5
12,12,4310.0,72,200,259807.0,2,4,4,244,Can't loose them,5
13,13,4305.0,96,141,90208.0,2,4,3,243,Can't loose them,5
14,14,4299.0,78,68,134042.0,2,3,3,233,At risk,5
15,15,4297.0,250,17,37002.0,1,1,1,111,Hibernating,1
16,16,4295.0,228,37,88021.0,1,2,3,123,Hibernating,1
17,17,4294.0,25,44,44778.0,3,3,2,332,Loyal customers,5
18,18,4292.0,10,90,252565.0,4,3,4,434,Champions,5
19,19,4285.0,60,54,146560.0,2,3,3,233,At risk,5
20,20,4282.0,177,131,150351.0,1,4,3,143,Can't loose them,1
21,21,4276.0,302,23,59479.0,1,2,2,122,Hibernating,1
22,22,4271.0,135,38,80538.0,2,2,2,222,Hibernating,5
23,23,4256.0,16,70,144964.0,4,3,3,433,Champions,5
24,24,4250.0,9,362,244954.0,4,4,4,444,Champions,0
25,25,4247.0,368,30,22364.0,1,2,1,121,Hibernating,1
26,26,4246.0,11,1278,714700.0,4,4,4,444,Champions,0
27,27,4244.0,69,377,178366.0,2,4,3,243,Can't loose them,0
28,28,4230.0,12,213,124422.0,4,4,3,443,Champions,5
29,29,4220.0,26,73,98389.0,3,3,3,333,Loyal customers,5
30,30,4209.0,27,470,275736.0,3,4,4,344,Loyal customers,0
31,31,4205.0,6,137,293642.0,4,4,4,444,Champions,5
32,32,4198.0,8,360,810639.0,4,4,4,444,Champions,0
33,33,4193.0,5,127,255557.0,4,4,4,444,Champions,5
34,34,4192.0,25,121,70219.0,3,4,2,342,Loyal customers,5
35,35,4190.0,12,472,606827.0,4,4,4,444,Champions,0
36,36,4189.0,21,19,45323.0,3,2,2,322,Potential loyalists,5
37,37,4186.0,36,53,102388.0,3,3,3,333,Loyal customers,5
38,38,4179.0,36,191,106879.0,3,4,3,343,Loyal customers,5
39,39,4175.0,33,123,192840.0,3,4,3,343,Loyal customers,5
40,40,4163.0,38,93,50431.0,3,3,2,332,Loyal customers,5
41,41,4152.0,166,30,126434.0,1,2,3,123,Hibernating,1
42,42,4143.0,212,31,91655.0,1,2,3,123,Hibernating,1
43,43,4138.0,38,329,337614.0,3,4,4,344,Loyal customers,0
44,44,4135.0,26,249,159439.0,3,4,3,343,Loyal customers,5
45,45,4130.0,201,19,76010.0,1,2,2,122,Hibernating,1
46,46,4129.0,6,485,333557.0,4,4,4,444,Champions,0
47,47,4128.0,40,20,125906.0,3,2,3,323,Potential loyalists,5
48,48,4126.0,9,34,1453359.0,4,2,4,424,Potential loyalists,5
49,49,4114.0,31,90,166990.0,3,3,3,333,Loyal customers,5
50,50,4105.0,65,145,101555.0,2,4,3,243,Can't loose them,5
51,51,4104.0,5,695,532472.0,4,4,4,444,Champions,0
52,52,4099.0,313,38,40026.0,1,2,2,122,Hibernating,1
53,53,4098.0,10,39,50843.0,4,2,2,422,Potential loyalists,5
54,54,4095.0,77,34,97413.0,2,2,3,223,Hibernating,5
55,55,4089.0,173,114,68370.0,1,4,2,142,Can't loose them,1
56,56,4087.0,45,16,16803.0,3,1,1,311,Promising,5
57,57,4080.0,23,67,130529.0,3,3,3,333,Loyal customers,5
58,58,4076.0,4,117,112751.0,4,4,3,443,Champions,5
59,59,4069.0,187,46,79788.0,1,3,2,132,At risk,1
60,60,4066.0,3,279,256897.0,4,4,4,444,Champions,0
61,61,4065.0,109,40,48614.0,2,2,2,222,Hibernating,5
62,62,4062.0,31,369,1345788.0,3,4,4,344,Loyal customers,0
63,63,4061.0,13,102,102530.0,4,4,3,443,Champions,5
64,64,4060.0,60,148,461480.0,2,4,4,244,Can't loose them,5
65,65,4059.0,324,11,38352.0,1,1,1,111,Hibernating,1
66,66,4058.0,4,222,301822.0,4,4,4,444,Champions,5
67,67,4043.0,2,7837,5225317.0,4,4,4,444,Champions,3
68,68,4040.0,43,168,184031.0,3,4,3,343,Loyal customers,5
69,69,4034.0,299,30,109640.0,1,2,3,123,Hibernating,1
70,70,4032.0,6,220,261362.0,4,4,4,444,Champions,5
71,71,4028.0,5,33,42564.0,4,2,2,422,Potential loyalists,5
72,72,4024.0,5,850,976902.0,4,4,4,444,Champions,0
73,73,4022.0,12,43,93687.0,4,3,3,433,Champions,5
74,74,4020.0,83,140,164340.0,2,4,3,243,Can't loose them,5
75,75,4018.0,23,408,401290.0,3,4,4,344,Loyal customers,0
76,76,4010.0,76,4,119191.0,2,1,3,213,Hibernating,5
77,77,4009.0,153,134,240653.0,1,4,4,144,Can't loose them,1
78,78,4007.0,54,13,16780.0,2,1,1,211,Hibernating,5
79,79,4006.0,73,67,46934.0,2,3,2,232,At risk,5
80,80,4003.0,25,194,93980.0,3,4,3,343,Loyal customers,5
81,81,4000.0,11,53,21215.0,4,3,1,431,Champions,5
82,82,3993.0,51,75,101270.0,3,3,3,333,Loyal customers,5
83,83,3990.0,22,25,40530.0,3,2,2,322,Potential loyalists,5
84,84,3987.0,2,740,726525.0,4,4,4,444,Champions,0
85,85,3980.0,4,136,415866.0,4,4,4,444,Champions,5
86,86,3974.0,3,690,1741880.0,4,4,4,444,Champions,0
87,87,3970.0,80,67,146834.0,2,3,3,233,At risk,5
88,88,3968.0,5,165,359780.0,4,4,4,444,Champions,5
89,89,3965.0,74,40,118826.0,2,2,3,223,Hibernating,5
90,90,3961.0,38,274,668855.0,3,4,4,344,Loyal customers,0
91,91,3959.0,23,245,725207.0,3,4,4,344,Loyal customers,0
92,92,3953.0,188,35,31905.0,1,2,1,121,Hibernating,1
93,93,3951.0,5,382,1256291.0,4,4,4,444,Champions,0
94,94,3950.0,5,103,229524.0,4,4,4,444,Champions,5
95,95,3948.0,36,55,106784.0,3,3,3,333,Loyal customers,5
96,96,3946.0,253,24,47314.0,1,2,2,122,Hibernating,1
97,97,3936.0,32,256,561697.0,3,4,4,344,Loyal customers,0
98,98,3935.0,8,286,704126.0,4,4,4,444,Champions,0
99,99,3933.0,44,15,32961.0,3,1,1,311,Promising,5
100,100,3928.0,2,304,2164906.0,4,4,4,444,Champions,0
101,101,3926.0,2,705,2454795.0,4,4,4,444,Champions,0
102,102,3923.0,51,110,400463.0,3,4,4,344,Loyal customers,5
103,103,3913.0,18,158,375201.0,4,4,4,444,Champions,5
104,104,3906.0,12,232,550659.0,4,4,4,444,Champions,0
105,105,3903.0,61,91,207468.0,2,3,3,233,At risk,5
106,106,3902.0,66,7,14801.0,2,1,1,211,Hibernating,5
107,107,3893.0,37,297,279899.0,3,4,4,344,Loyal customers,0
108,108,3892.0,34,70,169926.0,3,3,3,333,Loyal customers,5
109,109,3889.0,6,123,257684.0,4,4,4,444,Champions,5
110,110,3885.0,33,33,68301.0,3,2,2,322,Potential loyalists,5
111,111,3876.0,54,135,298408.0,2,4,4,244,Can't loose them,5
112,112,3875.0,8,576,523893.0,4,4,4,444,Champions,0
113,113,3874.0,41,235,146839.0,3,4,3,343,Loyal customers,5
114,114,3870.0,3,560,715431.0,4,4,4,444,Champions,0
115,115,3867.0,214,55,250461.0,1,3,4,134,At risk,1
116,116,3866.0,24,270,486410.0,3,4,4,344,Loyal customers,0
117,117,3863.0,4,213,544573.0,4,4,4,444,Champions,0
118,118,3862.0,75,166,277511.0,2,4,4,244,Can't loose them,5
119,119,3855.0,1,440,1403941.0,4,4,4,444,Champions,0
120,120,3847.0,51,298,194425.0,3,4,3,343,Loyal customers,0
121,121,3842.0,15,63,155685.0,4,3,3,433,Champions,5
122,122,3836.0,2,88,295511.0,4,3,4,434,Champions,5
123,123,3828.0,44,144,82660.0,3,4,2,342,Loyal customers,5
124,124,3818.0,2,253,475033.0,4,4,4,444,Champions,0
125,125,3810.0,54,30,74205.0,2,2,2,222,Hibernating,5
126,126,3809.0,18,82,249325.0,4,3,4,434,Champions,5
127,127,3805.0,129,40,26851.0,2,2,1,221,Hibernating,5
128,128,3802.0,3,963,12367652.0,4,4,4,444,Champions,4
129,129,3794.0,3,38,79670.0,4,2,2,422,Potential loyalists,5
130,130,3790.0,290,40,92281.0,1,2,3,123,Hibernating,1
131,131,3785.0,2,109,455314.0,4,4,4,444,Champions,5
132,132,3780.0,4,82,180467.0,4,3,3,433,Champions,5
133,133,3779.0,78,29,70850.0,2,2,2,222,Hibernating,5
134,134,3777.0,192,181,95263.0,1,4,3,143,Can't loose them,1
135,135,3775.0,17,88,225558.0,4,3,4,434,Champions,5
136,136,3773.0,11,41,95431.0,4,2,3,423,Potential loyalists,5
137,137,3769.0,23,111,116949.0,3,4,3,343,Loyal customers,5
138,138,3760.0,2,100,232651.0,4,3,4,434,Champions,5
139,139,3756.0,41,36,77671.0,3,2,2,322,Potential loyalists,5
140,140,3752.0,37,135,290569.0,3,4,4,344,Loyal customers,5
141,141,3746.0,19,48,49338.0,4,3,2,432,Champions,5
142,142,3743.0,129,39,80325.0,2,2,2,222,Hibernating,5
143,143,3742.0,5,328,2192731.0,4,4,4,444,Champions,0
144,144,3738.0,47,26,88053.0,3,2,3,323,Potential loyalists,5
145,145,3735.0,14,206,517006.0,4,4,4,444,Champions,5
146,146,3733.0,30,269,910615.0,3,4,4,344,Loyal customers,0
147,147,3730.0,4,66,161808.0,4,3,3,433,Champions,5
148,148,3728.0,17,64,151807.0,4,3,3,433,Champions,5
149,149,3727.0,185,13,81568.0,1,1,2,112,Hibernating,1
150,150,3720.0,127,213,273980.0,2,4,4,244,Can't loose them,5
151,151,3718.0,23,92,82670.0,3,3,2,332,Loyal customers,5
152,152,3717.0,45,25,689718.0,3,2,4,324,Potential loyalists,5
153,153,3715.0,307,61,63483.0,1,3,2,132,At risk,1
154,154,3707.0,5,51,26550.0,4,3,1,431,Champions,5
155,155,3703.0,24,418,506161.0,3,4,4,344,Loyal customers,0
156,156,3699.0,41,57,82826.0,3,3,2,332,Loyal customers,5
157,157,3692.0,1,411,584368.0,4,4,4,444,Champions,0
158,158,3685.0,312,19,27652.0,1,2,1,121,Hibernating,1
159,159,3681.0,9,71,159811.0,4,3,3,433,Champions,5
160,160,3677.0,4,500,344235.0,4,4,4,444,Champions,0
161,161,3670.0,18,751,824291.0,4,4,4,444,Champions,0
162,162,3669.0,152,542,268655.0,1,4,4,144,Can't loose them,0
163,163,3663.0,282,6,11706.0,1,1,1,111,Hibernating,1
164,164,3660.0,16,107,87225.0,4,4,3,443,Champions,5
165,165,3656.0,28,131,359984.0,3,4,4,344,Loyal customers,5
166,166,3655.0,33,24,313280.0,3,2,4,324,Potential loyalists,5
167,167,3649.0,362,53,31581.0,1,3,1,131,At risk,1
168,168,3646.0,18,57,103398.0,4,3,3,433,Champions,5
169,169,3640.0,4,102,75445.0,4,4,2,442,Champions,5
170,170,3639.0,32,111,120701.0,3,4,3,343,Loyal customers,5
171,171,3636.0,22,45,21571.0,3,3,1,331,Loyal customers,5
172,172,3626.0,3,80,39213.0,4,3,1,431,Champions,5
173,173,3625.0,139,127,75707.0,2,4,2,242,Can't loose them,5
174,174,3617.0,120,87,47392.0,2,3,2,232,At risk,5
175,175,3616.0,363,39,34116.0,1,2,1,121,Hibernating,1
176,176,3614.0,121,69,41853.0,2,3,2,232,At risk,5
177,177,3613.0,16,55,34357.0,4,3,1,431,Champions,5
178,178,3610.0,2,399,1037160.0,4,4,4,444,Champions,0
179,179,3607.0,4,566,466060.0,4,4,4,444,Champions,0
180,180,3600.0,13,541,407936.0,4,4,4,444,Champions,0
181,181,3597.0,16,208,263630.0,4,4,4,444,Champions,5
182,182,3594.0,311,48,44056.0,1,3,2,132,At risk,1
183,183,3589.0,5,274,242206.0,4,4,4,444,Champions,0
184,184,3580.0,36,152,504079.0,3,4,4,344,Loyal customers,5
185,185,3574.0,29,237,269897.0,3,4,4,344,Loyal customers,5
186,186,3568.0,8,73,400692.0,4,3,4,434,Champions,5
187,187,3551.0,22,101,212135.0,3,4,4,344,Loyal customers,5
188,188,3543.0,23,81,218152.0,3,3,4,334,Loyal customers,5
189,189,3538.0,17,478,1309866.0,4,4,4,444,Champions,0
190,190,3531.0,153,260,135151.0,1,4,3,143,Can't loose them,5
191,191,3516.0,160,90,99140.0,1,3,3,133,At risk,1
192,192,3510.0,23,74,163410.0,3,3,3,333,Loyal customers,5
193,193,3506.0,7,63,251407.0,4,3,4,434,Champions,5
194,194,3505.0,30,115,242485.0,3,4,4,344,Loyal customers,5
195,195,3504.0,8,96,302762.0,4,3,4,434,Champions,5
196,196,3503.0,124,187,196484.0,2,4,3,243,Can't loose them,5
197,197,3500.0,34,81,242570.0,3,3,4,334,Loyal customers,5
198,198,3499.0,26,64,33075.0,3,3,1,331,Loyal customers,5
199,199,3493.0,18,173,182424.0,4,4,3,443,Champions,5
200,200,3487.0,59,62,99205.0,2,3,3,233,At risk,5
201,201,3486.0,22,78,183705.0,3,3,3,333,Loyal customers,5
202,202,3484.0,74,99,598907.0,2,3,4,234,At risk,5
203,203,3482.0,30,516,409403.0,3,4,4,344,Loyal customers,0
204,204,3480.0,29,83,178704.0,3,3,3,333,Loyal customers,5
205,205,3477.0,195,43,33570.0,1,3,1,131,At risk,1
206,206,3476.0,97,316,409514.0,2,4,4,244,Can't loose them,0
207,207,3475.0,3,318,692783.0,4,4,4,444,Champions,0
208,208,3474.0,119,43,119841.0,2,3,3,233,At risk,5
209,209,3469.0,33,102,231136.0,3,4,4,344,Loyal customers,5
210,210,3464.0,88,75,158630.0,2,3,3,233,At risk,5
211,211,3457.0,79,153,111790.0,2,4,3,243,Can't loose them,5
212,212,3449.0,29,217,285553.0,3,4,4,344,Loyal customers,5
213,213,3441.0,1,169,497679.0,4,4,4,444,Champions,5
214,214,3429.0,18,120,647148.0,4,4,4,444,Champions,5
215,215,3428.0,89,407,576426.0,2,4,4,244,Can't loose them,0
216,216,3425.0,256,87,150642.0,1,3,3,133,At risk,1
217,217,3419.0,6,31,59862.0,4,2,2,422,Potential loyalists,5
218,218,3413.0,39,100,64915.0,3,3,2,332,Loyal customers,5
219,219,3408.0,3,54,267687.0,4,3,4,434,Champions,5
220,220,3403.0,4,60,168952.0,4,3,3,433,Champions,5
221,221,3398.0,13,281,234198.0,4,4,4,444,Champions,0
222,222,3397.0,53,305,420668.0,2,4,4,244,Can't loose them,0
223,223,3391.0,6,898,623311.0,4,4,4,444,Champions,0
224,224,3384.0,13,671,898625.0,4,4,4,444,Champions,0
225,225,3383.0,62,60,24330.0,2,3,1,231,At risk,5
226,226,3382.0,157,327,330978.0,1,4,4,144,Can't loose them,0
227,227,3381.0,54,128,139704.0,2,4,3,243,Can't loose them,5
228,228,3379.0,24,143,81403.0,3,4,2,342,Loyal customers,5
229,229,3374.0,5,547,196963.0,4,4,3,443,Champions,0
230,230,3370.0,6,208,383372.0,4,4,4,444,Champions,5
231,231,3369.0,5,709,486006.0,4,4,4,444,Champions,0
232,232,3363.0,300,37,32917.0,1,2,1,121,Hibernating,1
233,233,3359.0,2,203,95517.0,4,4,3,443,Champions,5
234,234,3348.0,68,112,261051.0,2,4,4,244,Can't loose them,5
235,235,3347.0,5,279,913994.0,4,4,4,444,Champions,0
236,236,3345.0,23,137,345101.0,3,4,4,344,Loyal customers,5
237,237,3335.0,8,20,46294.0,4,2,2,422,Potential loyalists,5
238,238,3328.0,101,63,156789.0,2,3,3,233,At risk,5
239,239,3326.0,9,266,2107553.0,4,4,4,444,Champions,0
240,240,3325.0,199,25,69598.0,1,2,2,122,Hibernating,1
241,241,3323.0,40,11,33315.0,3,1,1,311,Promising,5
242,242,3320.0,2,47,134791.0,4,3,3,433,Champions,5
243,243,3314.0,39,28,111816.0,3,2,3,323,Potential loyalists,5
244,244,3307.0,15,323,786658.0,4,4,4,444,Champions,0
245,245,3306.0,9,449,256988.0,4,4,4,444,Champions,0
246,246,3304.0,5,28,79425.0,4,2,2,422,Potential loyalists,5
247,247,3297.0,24,60,66257.0,3,3,2,332,Loyal customers,5
248,248,3295.0,167,76,188901.0,1,3,3,133,At risk,1
249,249,3294.0,12,164,146478.0,4,4,3,443,Champions,5
250,250,3290.0,58,16,29688.0,2,1,1,211,Hibernating,5
251,251,3288.0,30,319,210168.0,3,4,3,343,Loyal customers,0
252,252,3280.0,3,333,1339828.0,4,4,4,444,Champions,0
253,253,3279.0,76,16,34442.0,2,1,1,211,Hibernating,5
254,254,3273.0,35,254,296617.0,3,4,4,344,Loyal customers,5
255,255,3266.0,4,706,343348.0,4,4,4,444,Champions,0
256,256,3258.0,115,170,210959.0,2,4,4,244,Can't loose them,5
257,257,3254.0,31,24,142053.0,3,2,3,323,Potential loyalists,5
258,258,3251.0,38,42,112005.0,3,3,3,333,Loyal customers,5
259,259,3250.0,5,449,896109.0,4,4,4,444,Champions,0
260,260,3248.0,12,242,170453.0,4,4,3,443,Champions,5
261,261,3242.0,79,125,307505.0,2,4,4,244,Can't loose them,5
262,262,3238.0,39,659,1020155.0,3,4,4,344,Loyal customers,0
263,263,3237.0,47,269,140091.0,3,4,3,343,Loyal customers,5
264,264,3234.0,304,150,90437.0,1,4,3,143,Can't loose them,1
265,265,3229.0,15,201,242190.0,4,4,4,444,Champions,5
266,266,3228.0,370,45,87845.0,1,3,3,133,At risk,1
267,267,3227.0,24,199,472856.0,3,4,4,344,Loyal customers,5
268,268,3224.0,224,93,148807.0,1,3,3,133,At risk,1
269,269,3223.0,19,624,904773.0,4,4,4,444,Champions,0
270,270,3222.0,17,446,449622.0,4,4,4,444,Champions,0
271,271,3220.0,20,402,344984.0,3,4,4,344,Loyal customers,0
272,272,3219.0,85,79,341161.0,2,3,4,234,At risk,5
273,273,3217.0,38,123,65414.0,3,4,2,342,Loyal customers,5
274,274,3216.0,2,270,1689593.0,4,4,4,444,Champions,0
275,275,3215.0,9,144,903553.0,4,4,4,444,Champions,5
276,276,3206.0,2,62,165181.0,4,3,3,433,Champions,5
277,277,3203.0,5,268,8105059.0,4,4,4,444,Champions,4
278,278,3197.0,34,89,188071.0,3,3,3,333,Loyal customers,5
279,279,3193.0,24,252,541048.0,3,4,4,344,Loyal customers,0
280,280,3192.0,24,158,185962.0,3,4,3,343,Loyal customers,5
281,281,3190.0,69,53,71747.0,2,3,2,232,At risk,5
282,282,3182.0,18,261,507784.0,4,4,4,444,Champions,0
283,283,3174.0,246,27,64363.0,1,2,2,122,Hibernating,1
284,284,3170.0,24,94,228655.0,3,3,4,334,Loyal customers,5
285,285,3167.0,18,152,342281.0,4,4,4,444,Champions,5
286,286,3164.0,80,20,39419.0,2,2,2,222,Hibernating,5
287,287,3148.0,16,276,672326.0,4,4,4,444,Champions,0
288,288,3147.0,18,172,464847.0,4,4,4,444,Champions,5
289,289,3136.0,5,216,555469.0,4,4,4,444,Champions,0
290,290,3125.0,85,42,86478.0,2,3,3,233,At risk,5
291,291,3122.0,16,126,475745.0,4,4,4,444,Champions,5
292,292,3114.0,1,460,1107757.0,4,4,4,444,Champions,0
293,293,3112.0,67,207,422307.0,2,4,4,244,Can't loose them,5
294,294,3105.0,11,981,531891.0,4,4,4,444,Champions,0
295,295,3099.0,6,31,81238.0,4,2,2,422,Potential loyalists,5
296,296,3093.0,82,14,27954.0,2,1,1,211,Hibernating,5
297,297,3090.0,2,290,1151990.0,4,4,4,444,Champions,0
298,298,3084.0,53,113,196078.0,2,4,3,243,Can't loose them,5
299,299,3083.0,12,35,109779.0,4,2,3,423,Potential loyalists,5
300,300,3080.0,298,13,39173.0,1,1,1,111,Hibernating,1
301,301,3072.0,50,136,372281.0,3,4,4,344,Loyal customers,5
302,302,3070.0,4,97,85755.0,4,3,2,432,Champions,5
303,303,3052.0,24,182,78220.0,3,4,2,342,Loyal customers,5
304,304,3050.0,34,148,199772.0,3,4,3,343,Loyal customers,5
305,305,3049.0,20,236,185437.0,3,4,3,343,Loyal customers,5
306,306,3048.0,22,82,202111.0,3,3,3,333,Loyal customers,5
